,u_name,u_screen_name,t_date,t_text,t_polarity_score,t_polarity,t_subjectivity_score,u_followers,t_retweets,t_favorited,t_mentions,t_id
0,research2guidance,r2guidance,22/03/2019,"Next generation of symptoms checkers will become one of the killer applications in digital health  https://t.co/jLpv9OpdUR
#digitalhealth #mhealth #healthcare  #cost #opportunity #symptomscheckers #strategy #applications @adahealth  @babylonhealth @NHSEngland @NHSDigital https://t.co/oGLxkNGJAJ",0.0,Neutral,0.0,831,2,1,"Ada (adahealth), Babylon (babylonhealth), NHS England (NHSEngland), NHS Digital (NHSDigital)",1109119592050380800
1,Bromford Lab,BromfordLab,22/03/2019,Disrupting the NHS. How @babylonhealth is changing the landscape and the impact that that is having https://t.co/YoNDSDj06q #Innovation #Health,0.0,Neutral,0.0,5170,0,0,Babylon (babylonhealth),1109081852613181442
2,Jeremy Hoare,TopTVCameraman,22/03/2019,Pathetic MP sponsored by @BabylonHealth.  #Tory Hancock accused of 'astonishing ignorance' after he speaks about his prostate cancer risk ' #NHShttps://www.telegraph.co.uk/news/2019/03/20/hancock-accused-astonishing-ignorance-speaks-prostate-cancer/,-0.25,Negative,1.0,1106,0,0,Babylon (babylonhealth),1109035286821040128
3,Huisarts NielsRossen,HuisartsRossen,22/03/2019,"Zeg ⁦@nhgnieuws⁩, ⁦@LHVhuisartsen⁩, ⁦@VPHuisartsen⁩ etc.. wanneer krijgen wij dit in NL??? -&gt; NHS Partnership | Babylon Health https://t.co/YYV1X8ie87",0.0,Neutral,0.0,3472,0,0,"NHG Nieuws (nhgnieuws), LHV (LHVhuisartsen), VPHuisartsen (VPHuisartsen)",1109027171694190592
4,Andrew Turner,andykturner,22/03/2019,"@felly500 @MattHancock It's all a bit product-placementy again too isn't it, like his @babylonhealth sales pitch. Dubious ethics.",0.0,Neutral,0.0,476,0,0,"greg fell (felly500), Matt Hancock (MattHancock), Babylon (babylonhealth)",1109018332508930049
5,Dr Murphy,DrMurphy11,22/03/2019,"The @babylonhealth Feedback page talked of 'genuine' 'transparency' &amp; claimed they would upload all rating relating to the service.

However, it appears that wasn't actually true, &amp; after being challenged, the website is now amended. 

Before 👇                    After 👇 https://t.co/foltQMguwV",0.375,Positive,0.575,4091,2,4,Babylon (babylonhealth),1108991323238027264
6,WillyWhite,ooWillyWhite,21/03/2019,@babylonhealth Would love to Babylon pair up with a company like fitbit to link health data from diet and exercise etc,0.5,Positive,0.6,21,0,1,Babylon (babylonhealth),1108852659661033472
7,Andrew,rooo_210,21/03/2019,"@pkonline84 @MattHancock @babylonhealth A Health Secretary who is actively trying to promote discord between doctors and nurses, whilst undermining his doctor workforce. Plus his 15% risk of prostate cancer is less than the 18% lifetime risk 🤨🙄 What an absolute FOOL",-0.033333333333333326,Neutral,0.5222222222222223,444,0,0,"Prakash Kachhala (pkonline84), Matt Hancock (MattHancock), Babylon (babylonhealth)",1108838396041064448
8,Prakash Kachhala,pkonline84,21/03/2019,"Maybe @MattHancock could have contacted @babylonhealth for a virtual rectal examination. #nhs

BBC News - Hancock criticised over DNA test 'over reaction'
https://t.co/cXzdHxmqI4",0.0,Neutral,0.0,598,1,2,"Matt Hancock (MattHancock), Babylon (babylonhealth)",1108835605570564097
9,ian newell,iannewell7,21/03/2019,"@DrMurphy11 @babylonhealth @MattHancock MH states :“Some people say we shouldn’t encourage the ‘worried well’. I feel that’s the wrong response.” !? The “worried well” are who GP at Hand appear to be “cherry picking”?
Disruptive - yes. Destabilising-yes.70% of NHS budgets goes on treating LTCs-NHS “House of Care” model",-0.625,Negative,0.9,6,1,2,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), Matt Hancock (MattHancock)",1108832672900616204
10,Mark Sujan,MarkSujan,21/03/2019,@IHabli @haroldthimbleby @NielsPeek @farahmagrabi @NHSImprovement @babylonhealth @MHRAdevices @NHSDigital @Medopad @rdhawkins @AAIP_York @UoY_CS Looking forward to catching up with @haroldthimbleby,0.6,Positive,0.9,282,0,1,"Ibrahim Habli (IHabli), Harold Thimbleby (haroldthimbleby), Niels Peek (NielsPeek), Farah Magrabi (farahmagrabi), NHS Improvement (NHSImprovement), Babylon (babylonhealth), MHRA Devices Safety (MHRAdevices), NHS Digital (NHSDigital), medopad (Medopad), Richard Hawkins (rdhawkins), Assuring Autonomy International Programme (AAIP_York), UoY Computer Science (UoY_CS), Harold Thimbleby (haroldthimbleby)",1108805320346923009
11,HealthTechInsider,HealthTechInsi2,21/03/2019,@DrMurphy11 @GPatHand @babylonhealth @Trustpilot @MattHancock @CareQualityComm @ASA_UK Classic. They did the same with the CQC approval of the telemedicine service and made it look like the symptom checker was also approved,0.08333333333333333,Positive,0.14583333333333331,77,1,2,"Dr Murphy (DrMurphy11), Babylon GP at Hand (GPatHand), Babylon (babylonhealth), Trustpilot (Trustpilot), Matt Hancock (MattHancock), Care Quality Commission (CareQualityComm), ASA (ASA_UK)",1108794376963215360
12,Richard Blogger,richardblogger,21/03/2019,@mellojonny @AliJaneMoore @babylonhealth Why would @babylonhealth ever think they can tell a GP to refer a patient to a specialist? It's bizarre arrogance. Worthy of a complaint to their commissioner?,0.14444444444444446,Positive,0.6,4152,0,1,"#hellomynameis JT (mellojonny), Alison Moore (AliJaneMoore), Babylon (babylonhealth), Babylon (babylonhealth)",1108782190660341767
13,#hellomynameis JT,mellojonny,21/03/2019,"@AliJaneMoore @babylonhealth You're absolutely right. Unlike @babylonhealth I can offer continuity of care and expert mental health care with additional support available from psychology, psychiatry, psychotherapy and more.",0.27142857142857146,Positive,0.4089285714285714,13833,1,3,"Alison Moore (AliJaneMoore), Babylon (babylonhealth), Babylon (babylonhealth)",1108777434541948931
14,Alison Moore,AliJaneMoore,21/03/2019,"@mellojonny @babylonhealth I'm not wrong am I? Faced with a ""simple"" case of depression with no immediate risk a GP would normally try to manage inhouse initially and only refer to psychiatrist if that failed/picture changed? Sounds as if Babylon is simply referring on.",0.06666666666666667,Positive,0.544047619047619,2545,1,2,"#hellomynameis JT (mellojonny), Babylon (babylonhealth)",1108776934807359491
15,#hellomynameis JT,mellojonny,21/03/2019,"@AliJaneMoore We've had messages from @babylonhealth asking us to refer our patients to specialists, but won't do so without making an assessment ourselves.",0.0,Neutral,0.0,13833,0,0,"Alison Moore (AliJaneMoore), Babylon (babylonhealth)",1108776141005967361
16,Teri,TeriOsteopath,21/03/2019,@DrMurphy11 @babylonhealth Find that impossible to believe,-0.6666666666666666,Negative,1.0,436,0,0,"Dr Murphy (DrMurphy11), Babylon (babylonhealth)",1108744929008906241
17,Diana Yanez-Pastor,D_YanezPastor,21/03/2019,"It was great to see ⁦@babylonhealth⁩ presenting at #DWS19 today, innovation for healthcare professionals. They’re looking for top talent to join their team (https://t.co/XzwxR37Umr) https://t.co/GZZvpZCKFb",0.65,Positive,0.625,300,0,1,Babylon (babylonhealth),1108720414509944832
18,Dr Marcus Baw,marcus_baw,21/03/2019,@DrMurphy11 @GPatHand @babylonhealth @Trustpilot @MattHancock @CareQualityComm @ASA_UK @rcgp @HelenRCGP @mgtmccartney @DrFJameel @Phil_Koczan,0.0,Neutral,0.0,2206,1,1,"Dr Murphy (DrMurphy11), Babylon GP at Hand (GPatHand), Babylon (babylonhealth), Trustpilot (Trustpilot), Matt Hancock (MattHancock), Care Quality Commission (CareQualityComm), ASA (ASA_UK), RCGP (rcgp), Helen Stokes-Lampard (HelenRCGP), Margaret McCartney (mgtmccartney), Dr Farah Jameel (DrFJameel), Phil Koczan (Phil_Koczan)",1108707498402422785
19,IMS MAXIMS,IMSMAXIMS,21/03/2019,Looking forward to #DHRewired19 keynote  with Ali Parsa who will be sharing his vision of how digital is now creating radical disruption &amp; @babylonhealth aim to create pervasive digital health services available to all @ShaneTickell @LeesaEwing @_ianjohnson @MarkHillIMS https://t.co/pL0hrmn6k9,0.13333333333333333,Positive,0.13333333333333333,2358,3,1,"Babylon (babylonhealth), Shane Tickell (ShaneTickell), Leesa Ewing (LeesaEwing), Ian Johnson (_ianjohnson), Mark Hill (MarkHillIMS)",1108679396951576576
20,Ibrahim Habli,IHabli,21/03/2019,Glad that @haroldthimbleby will also give a talk next week. Few places remain on 1st day of conference. 2nd day fully booked. Looking forward to exciting talks @NielsPeek @farahmagrabi @NHSImprovement @babylonhealth @MHRAdevices @NHSDigital @Medopad @rdhawkins @AAIP_York @UoY_CS https://t.co/6bpiIfAzdB,0.12,Positive,0.38,119,2,2,"Harold Thimbleby (haroldthimbleby), Niels Peek (NielsPeek), Farah Magrabi (farahmagrabi), NHS Improvement (NHSImprovement), Babylon (babylonhealth), MHRA Devices Safety (MHRAdevices), NHS Digital (NHSDigital), medopad (Medopad), Richard Hawkins (rdhawkins), Assuring Autonomy International Programme (AAIP_York), UoY Computer Science (UoY_CS)",1108672830756085760
21,MASQUERAID,_masqueraid,21/03/2019,@HelenRSalisbury @babylonhealth GP at Hand seems to be confused about its own diagnosis,0.09999999999999998,Positive,0.85,289,0,0,"Dr Helen Salisbury (HelenRSalisbury), Babylon (babylonhealth)",1108659909229457408
22,Dr Murphy,DrMurphy11,21/03/2019,"""Don’t listen to Hancock"", his advice is as flawed as a @babylonhealth Chatbot. @MattHancock 
https://t.co/dXsfGFEfzz",-0.5,Negative,0.5,4091,3,7,"Babylon (babylonhealth), Matt Hancock (MattHancock)",1108624036819550208
23,Dr Murphy,DrMurphy11,21/03/2019,"@HelenRSalisbury @babylonhealth Which might explain this👇
https://t.co/Zk29nDeA4i",0.0,Neutral,0.0,4091,0,0,"Dr Helen Salisbury (HelenRSalisbury), Babylon (babylonhealth)",1108520886515175425
24,Grumpy Old Doc,GrumpyOldDoc,20/03/2019,"@HelenRSalisbury @babylonhealth All's fair in fake marketing hype 

Matt says so",0.09999999999999998,Positive,0.95,4438,0,1,"Dr Helen Salisbury (HelenRSalisbury), Babylon (babylonhealth)",1108516879340056577
25,Dr Helen Salisbury,HelenRSalisbury,20/03/2019,All a bit confusing - this looks as if @babylonhealth is using the ratings given for its private Babylon service to promote its NHS #GPatHand service. Surely some mistake here? https://t.co/qszJlJ3gte,0.06666666666666667,Positive,0.5546296296296296,2476,16,20,Babylon (babylonhealth),1108513601994874880
26,Andrew Dench,ajdench,20/03/2019,@digitalhealth2 @DHRewired @babylonhealth https://t.co/qhUnOTmU6I,0.0,Neutral,0.0,48,0,0,"Digital Health (digitalhealth2), Digital Health Rewired (DHRewired), Babylon (babylonhealth)",1108502334374596610
27,Dr Murphy,DrMurphy11,20/03/2019,"Dear @GPatHand

Your website is very misleading, as you have used Trust Pilot ratings for @babylonhealth (Private Healthcare) to promote @GPatHand (NHS Healthcare).

There are 'no' @Trustpilot reviews for GP at Hand, hence this is highly misleading.

Can you please amend this. https://t.co/swa3nr9uaI",0.12,Positive,0.40499999999999997,4091,8,12,"Babylon GP at Hand (GPatHand), Babylon (babylonhealth), Babylon GP at Hand (GPatHand), Trustpilot (Trustpilot)",1108495705734299650
28,Dr Murphy,DrMurphy11,20/03/2019,"@babylonhealth @GPatHand @adahealth @MattHancock @CareQualityComm @drmurphy Not really, as you appear to be manipulating the figures.

The website suggests the rating is specific to @GPatHand, yet your App ratings are an amalgam of @GPatHand &amp; @babylonhealth scores.

NB There aren't any GP at Hand reviews on @Trustpilot... @ASA_UK https://t.co/4ms3Ci4Fkw",-0.05,Negative,0.1625,4091,0,0,"Babylon (babylonhealth), Babylon GP at Hand (GPatHand), Ada (adahealth), Matt Hancock (MattHancock), Care Quality Commission (CareQualityComm), Daniel Murphy (drmurphy), Babylon GP at Hand (GPatHand), Babylon GP at Hand (GPatHand), Babylon (babylonhealth), Trustpilot (Trustpilot), ASA (ASA_UK)",1108486881237524481
29,Truth Justice Rights,RightsTruth,20/03/2019,@DrMurphy11 @babylonhealth Maybe they heard from @RobBehrens1884 #PHSO that it was good practice to screen and manage complainant feedback for official statistics...,0.7,Positive,0.6000000000000001,506,1,2,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), Rob Behrens (RobBehrens1884)",1108479524960915458
30,christian schmitt,wuest23,20/03/2019,"@DrMurphy11 @babylonhealth @MHRAdevices @MattHancock @CareQualityComm @ASA_UK @doktor_glad , that is what i call a ststistic! Hur kunde ni (nätläkare) hamnar vid 20% förtroende i samhälle när den genomsnittliga sjukvårdsgren hade 60%?",0.0,Neutral,0.0,158,0,0,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), MHRA Devices Safety (MHRAdevices), Matt Hancock (MattHancock), Care Quality Commission (CareQualityComm), ASA (ASA_UK), Doktor Glad AB (doktor_glad)",1108478011093995522
31,Dr Murphy,DrMurphy11,20/03/2019,"As evidenced in this 34 second video 👇

Can you please 'clarify' &amp; amend the wording on the @babylonhealth website. #Transparency #Trust 
@MHRAdevices @MattHancock @CareQualityComm @ASA_UK https://t.co/agHvw1Sn9A",0.0,Neutral,0.0,4091,2,5,"Babylon (babylonhealth), MHRA Devices Safety (MHRAdevices), Matt Hancock (MattHancock), Care Quality Commission (CareQualityComm), ASA (ASA_UK)",1108477315091234816
32,Dr Murphy,DrMurphy11,20/03/2019,"Dear @babylonhealth 

If ""the start of any genuine feedback relationship is transparency"" &amp; you claim to be ""uploading all the in-app ratings... &amp; all the things you’ve told us about the service...""

Then why are only positive 5* reviews mentioned here👇?  https://t.co/x2F0v40T6z",0.2090909090909091,Positive,0.6818181818181818,4091,5,11,Babylon (babylonhealth),1108473892522414081
33,Dr Murphy,DrMurphy11,20/03/2019,"Dear @babylonhealth @GPatHand

The GP at Hand website suggests that the @GPatHand App has a rating of 4.8/5 (96%) on the App store.

Did the Chatbot calculate that figure? The only Babylon Health rating I can see is 4.2/5 (84%).

NB @adahealth scores 4.7/5 (94%) https://t.co/oE36mijJJ1",0.0,Neutral,1.0,4091,0,3,"Babylon (babylonhealth), Babylon GP at Hand (GPatHand), Babylon GP at Hand (GPatHand), Ada (adahealth)",1108466680605429760
34,Sangeeta (Helpsy),sanHelpsy,20/03/2019,Helpsy Health had the wonderful opportunity to share about our experience to innovate with a purpose to improve quality of care &amp; alleviate costs! Happy to share the stage with amazing ventures @MaverickVent @bejoyable @newscorp @babylonhealth @MediBid #TCBEHC #willistowerswilson https://t.co/cakg5ui8zG,0.8000000000000002,Positive,0.9666666666666667,1868,1,0,"Maverick Ventures (MaverickVent), Joyable (bejoyable), News Corp (newscorp), Babylon (babylonhealth), MediBid (MediBid)",1108427522679734272
35,Digital Health,digitalhealth2,20/03/2019,"In his #DHRewired19 keynote Ali will share his vision of how digital is now creating radical disruption &amp; @babylonhealth aim to create pervasive digital health services available to all.

Register for @DHRewired here: https://t.co/uDC3wIuRAD https://t.co/qm1CB9DB88",0.13333333333333333,Positive,0.13333333333333333,26475,4,3,"Babylon (babylonhealth), Digital Health Rewired (DHRewired)",1108411901434843136
36,ACCA UK,ACCA_UK,20/03/2019,The final session of the day is underway. Institutional fraction and environmental risks are two key issues for businesses to keep an eye on. Thanks to all our speakers @NIOGlobal @babylonhealth @IBM https://t.co/yqpdnZ6GhN,0.06666666666666667,Positive,0.7333333333333334,41836,2,3,"NIO (NIOGlobal), Babylon (babylonhealth), IBM (IBM)",1108404053422325760
37,Nic Engler,event_nic,20/03/2019,Wrapping up a great 2 days at #UNLEASH19 @babylonhealth https://t.co/tCk8O3V80K,0.8,Positive,0.75,26,3,6,Babylon (babylonhealth),1108399778793172993
38,Adrian Adewunmi,AdrianAdewunmi,20/03/2019,"The messy, cautionary tale of how @babylonhealth disrupted the #NHS https://t.co/YMeWovYJDe #startups #digitalhealth",-0.2,Negative,0.4,1250,0,0,Babylon (babylonhealth),1108397908804673537
39,Jason Allie,JasonAllie34,20/03/2019,Nice presentation by @babylonhealth at the @Conferenceboard Employee Health Care Conference #AI #Chatbots #VirtualHealthcare https://t.co/MQRRqJejhH,0.6,Positive,1.0,1954,1,1,"Babylon (babylonhealth), The Conference Board (Conferenceboard)",1108388088995172353
40,GESDAT GmbH,GESDAT,20/03/2019,"T3n - Die #neuen #Arzthelfer: #Künstliche #Intelligenz erobert den #Gesundheitsbereich
 https://t.co/SmaCGLiGSO #AdaHealth #CloudDX #BabylonHealth #Arterys #Bfarm #FDA #Watson",0.0,Neutral,0.0,214,0,0,,1108386958131298305
41,Gevity Consulting,GevityInc,20/03/2019,"@TELUSHealth's @babylonhealth app replaces ""Dr. Google"" and offers #virtualhousecalls (in BC), an #AI symptom checker and other features, but it's not ""fully tested"" and should be monitored for effectiveness, says medical researcher.
 https://t.co/3mvS3NA6dA",-0.008333333333333331,Neutral,0.125,1132,0,0,"TELUS Health (TELUSHealth), Babylon (babylonhealth)",1108371819629854720
42,Erwin Kersten-Johnston,emj_kj,20/03/2019,@GeorginaHerdman @cumulyst @prudentialplc @babylonhealth Can they have you on the panel next time instead of 5 white men in suits? Hope you’re well Georgie :),0.16666666666666666,Positive,0.3333333333333333,248,0,1,"Georgina Herdman (GeorginaHerdman), Michael Natusch (cumulyst), Prudential plc (prudentialplc), Babylon (babylonhealth)",1108331293849333765
43,Surena Chande,SurenaSays,20/03/2019,Absolutely love this new @VerveSearch campaign where we asked students to describe what anxiety felt like to them. Their explanations were illustrated beautifully https://t.co/4B1JuuFBco,0.4954545454545454,Positive,0.6848484848484849,1987,0,8,VerveSearch (VerveSearch),1108324889600159744
44,Laura D'amato,Laura_D_amato,20/03/2019,Such a beautiful and powerful campaign! We asked UK students to describe their experience with anxiety and illustrated their moving responses: https://t.co/sRmd67DreA via @babylonhealth,0.4083333333333334,Positive,0.8333333333333334,303,0,1,Babylon (babylonhealth),1108322198165422080
45,Georgina Herdman,GeorginaHerdman,20/03/2019,"Why partner with InsurTechs? @cumulyst Global Head of AI at @prudentialplc discussing partnership with @babylonhealth, which enables frequent interaction with customers and therefore the opportunity to understand them much better #InsurTechInsights https://t.co/YvOpZxnnpp",0.19999999999999998,Positive,0.26666666666666666,629,0,1,"Michael Natusch (cumulyst), Prudential plc (prudentialplc), Babylon (babylonhealth)",1108320732881260545
46,Matthew Holt,boltyboy,20/03/2019,"In Singapore this April @health2con
Demos will be a big part of the #HIMSSSingapore program, led by our Japanese colleague Yuuri Ueda (@medpeer_post). Plus @babylonhealth &amp; @Healthbox Neil Patel on the agenda https://t.co/AO7lfa2fGS",0.0,Neutral,0.05,22789,0,0,"Health 2.0 (health2con), メドピア株式会社（MedPeer, Inc.） (medpeer_post), Babylon (babylonhealth), Healthbox (Healthbox)",1108210909984387074
47,Kaoru Neve,KaoruNeve,20/03/2019,"@OhMiaGod Have you tried Babylon Health as a first level check? I'm not 100% sure, but their AI-based triage system should be free...

I think it's also accessible via web: https://t.co/wm8uIISHzl",0.38125,Positive,0.5993055555555555,33,0,0,Mia Violet (OhMiaGod),1108181067066945538
48,Ian,IanStockport,19/03/2019,@DrMurphy11 @babylonhealth @GPatHand I think a good case can be made for a GP being forced to repay the additional payment they get when a GP registers of a pt if the pt leaves the GP without moving home.,0.19999999999999996,Positive,0.4,103,0,0,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand)",1108141434757095424
49,Steve the skeptic,sib313,19/03/2019,"@DrMurphy11 @babylonhealth @GPatHand But what is the rate right now, especially since most people now know the service means you have to leave your current GP.",0.19642857142857142,Positive,0.6089285714285714,1846,0,3,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at Hand (GPatHand)",1108119074003976194
50,Pam oshanter,Pamos19,19/03/2019,@Doctorkenny @DrMurphy11 @babylonhealth @GPatHand https://t.co/d3q6H5vl4J,0.0,Neutral,0.0,977,0,0,"Dr Kenny Livingstone (Doctorkenny), Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at Hand (GPatHand)",1108105237024436225
51,Grumpy Old Doc,GrumpyOldDoc,19/03/2019,"@UroShergill @RowanLGossedge @trentconsultant @MattHancock He knows, doesn't give a damn, hoping to be on board of @babylonhealth by years end",0.0,Neutral,0.0,4438,1,1,"Iqbal Shergill (UroShergill), Rowan Gossedge (RowanLGossedge), Mike Henley🤨 (trentconsultant), Matt Hancock (MattHancock), Babylon (babylonhealth)",1108093467333459969
52,JC,jcampbell_05,19/03/2019,@MikeStuchbery_ There is @babylonhealth,0.0,Neutral,0.0,1267,0,0,"Mike Stuchbery💀🍷 (MikeStuchbery_), Babylon (babylonhealth)",1108078550916259841
53,Dr Kenny Livingstone,Doctorkenny,19/03/2019,"@DrMurphy11 @babylonhealth @GPatHand Roughly 1 in 4 telemedicine consulates lead to the advice you need to see a GP in person.  

Maybe there is a correlation?!",-0.125,Negative,0.4,314,0,3,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand)",1108061665126506501
54,Chakameh Shafii,ChakamehShafii,19/03/2019,Dr. Ali Parsa presenting @babylonhealth’s incredible capabilities when it comes to AI enabled diagnostics and health support #iti2019 https://t.co/lK3ZXbkzZJ,0.9,Positive,0.9,1196,0,1,Babylon (babylonhealth),1108056457503744000
55,Dr Murphy,DrMurphy11,19/03/2019,"One in four patients who joined @babylonhealth @GPatHand (thinking it was a Healthcare Unicorn), have chosen to leave because it turned out to be a Horse with a Traffic Cone on its Head...

https://t.co/mGRICLD9UY",0.0,Neutral,0.0,4091,18,41,"Babylon (babylonhealth), Babylon GP at hand (GPatHand)",1108055019486699521
56,Luis Chipana,chipana_luis,19/03/2019,"Will #healthcare become affordable and accessible to every person on earth? Ali Parsa, CEO &amp; Founder babylonhealth speaks his mind ITI_Insurtech #insurance #iti2019 https://t.co/XlcaT28Ov8",0.375,Positive,0.375,541,0,0,,1108053132163063809
57,Insurtechnews,insurtechnews,19/03/2019,"Will #healthcare become affordable and accessible to every person on earth? Ali Parsa, CEO &amp; Founder @babylonhealth speaks his mind @ITI_Insurtech #insurance #iti2019 https://t.co/mTUDy0SDWC",0.375,Positive,0.375,17074,0,0,"Babylon (babylonhealth), Insurtech Insights (ITI_Insurtech)",1108052332821049349
58,Dr Keith Grimes,keithgrimes,19/03/2019,It's an absolutely fantastic place to work - join #TeamBabylon ! https://t.co/bqHbNXeodM,0.5,Positive,0.9,5520,1,3,,1108030265845149696
59,Privitar,privitarglobal,19/03/2019,"🏥 Health data is among the most sensitive but used correctly can improve our lives in many ways. We've invited @NHSDigital @babylonhealth @SensyneHealth @Parmy to discuss the healthcare analytics vs patient privacy balance at #InConfidence.
Don't miss it! https://t.co/9smRKKckbd",0.4083333333333334,Positive,0.6333333333333333,653,1,5,"NHS Digital (NHSDigital), Babylon (babylonhealth), Sensyne Health (SensyneHealth), Parmy Olson (parmy)",1108009292236574720
60,JennHIStalk,JennHIStalk,19/03/2019,Headlines: @USDS advises @DeptVetAffairs scrap software - @GlenFallsHosp settles with @Cerner - @cardiobrief offers Apple Watch caution - @BabylonHealth disrupts @NHSEngland - @HealthCatalyst preps for IPO https://t.co/7ABdU3705M,0.1,Positive,0.0,4801,0,0,"U.S. Digital Service (USDS), Veterans Affairs (DeptVetAffairs), Cerner (Cerner), Larry Husten (cardiobrief), Babylon (babylonhealth), NHS England (NHSEngland), Health Catalyst (HealthCatalyst)",1108006720998199297
61,Innovation & Impact,CIIimpact,19/03/2019,#ArtificialIntelligence in Global Health. Join us for a discussion and the release of our new report on April 1st in DC! @aspeninnovators @AspenInstitute @gatesfoundation @RockefellerFdn @hdx @babylonhealth ⁦@WadhwaniAI⁩  https://t.co/mULu1ALiLr,0.08522727272727272,Positive,0.22727272727272727,2516,6,9,"Aspen Innovators (aspeninnovators), The Aspen Institute (AspenInstitute), Gates Foundation (gatesfoundation), The Rockefeller Foundation (RockefellerFdn), The Human Diagnosis Project (hdx), Babylon (babylonhealth), Wadhwani AI (WadhwaniAI)",1107994384308596738
62,Jay Maguire,JayMaguire_,19/03/2019,"@babylonhealth If you’re a GP, Nurse or Pharmacist interested in working for Babylon, please contact me for further information. jay.maguire@babylonhealth.com",0.125,Positive,0.5,14,1,1,Babylon (babylonhealth),1107991835992080384
63,Dr. Mike,EmergMedDr,19/03/2019,"@MattHancock should be the voice for  these autistic vulnerable people.

Sadly he appears to only be the voice of Babylonhealth and technology. https://t.co/oRrRqaifqr",-0.3,Negative,0.675,2609,0,1,Matt Hancock (MattHancock),1107986138407583744
64,Daniel Barnes (Mr.N3CR0),N3CR0M4NC3R,19/03/2019,How are you supposed to verify @babylonhealth when a person has NONE of these forms of ID? I'm not allowed to drive and don't have a passport lol https://t.co/3MWyHIWgCA,0.8,Positive,0.7,213,0,0,Babylon (babylonhealth),1107975501153480705
