,u_name,u_screen_name,t_date,t_text,t_polarity_score,t_polarity,t_subjectivity_score,u_followers,t_retweets,t_favorited,t_mentions
0,Matthew Holt,boltyboy,20/03/2019,"In Singapore this April @health2con
Demos will be a big part of the #HIMSSSingapore program, led by our Japanese colleague Yuuri Ueda (@medpeer_post). Plus @babylonhealth &amp; @Healthbox Neil Patel on the agenda https://t.co/AO7lfa2fGS",0.0,Negative,0.05,22773,0,0,"Health 2.0 (health2con), メドピア株式会社（MedPeer, Inc.） (medpeer_post), Babylon (babylonhealth), Healthbox (Healthbox)"
1,Kaoru Neve,KaoruNeve,20/03/2019,"@OhMiaGod Have you tried Babylon Health as a first level check? I'm not 100% sure, but their AI-based triage system should be free...

I think it's also accessible via web: https://t.co/wm8uIISHzl",0.38125,Neutral,0.5993055555555555,33,0,0,Mia Violet (OhMiaGod)
2,Ian,IanStockport,19/03/2019,@DrMurphy11 @babylonhealth @GPatHand I think a good case can be made for a GP being forced to repay the additional payment they get when a GP registers of a pt if the pt leaves the GP without moving home.,0.19999999999999996,Negative,0.4,103,0,0,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand)"
3,Steve the skeptic,sib313,19/03/2019,"@DrMurphy11 @babylonhealth @GPatHand But what is the rate right now, especially since most people now know the service means you have to leave your current GP.",0.19642857142857142,Negative,0.6089285714285714,1845,0,3,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand)"
4,Pam oshanter,Pamos19,19/03/2019,@Doctorkenny @DrMurphy11 @babylonhealth @GPatHand https://t.co/d3q6H5vl4J,0.0,Negative,0.0,976,0,0,"Dr Kenny Livingstone (Doctorkenny), Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand)"
5,Grumpy Old Doc,GrumpyOldDoc,19/03/2019,"@UroShergill @RowanLGossedge @trentconsultant @MattHancock He knows, doesn't give a damn, hoping to be on board of @babylonhealth by years end",0.0,Negative,0.0,4437,0,0,"Iqbal Shergill (UroShergill), Rowan Gossedge (RowanLGossedge), Mike Henley🤨 (trentconsultant), Matt Hancock (MattHancock), Babylon (babylonhealth)"
6,JC,jcampbell_05,19/03/2019,@MikeStuchbery_ There is @babylonhealth,0.0,Negative,0.0,1186,0,0,"Mike Stuchbery💀🍷 (MikeStuchbery_), Babylon (babylonhealth)"
7,Dr Kenny Livingstone,Doctorkenny,19/03/2019,"@DrMurphy11 @babylonhealth @GPatHand Roughly 1 in 4 telemedicine consulates lead to the advice you need to see a GP in person.  

Maybe there is a correlation?!",-0.125,Negative,0.4,314,0,3,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand)"
8,Chakameh Shafii,ChakamehShafii,19/03/2019,Dr. Ali Parsa presenting @babylonhealth’s incredible capabilities when it comes to AI enabled diagnostics and health support #iti2019 https://t.co/lK3ZXbkzZJ,0.9,Positive,0.9,1195,0,0,Babylon (babylonhealth)
9,Dr Murphy,DrMurphy11,19/03/2019,"One in four patients who joined @babylonhealth @GPatHand (thinking it was a Healthcare Unicorn), have chosen to leave because it turned out to be a Horse with a Traffic Cone on its Head...

https://t.co/mGRICLD9UY",0.0,Negative,0.0,4089,16,31,"Babylon (babylonhealth), Babylon GP at hand (GPatHand)"
